Stimulus,Repetition,TrialNumber,SpikeTimes
1,1,1,0.0273
1,1,1,0.08552
1,1,1,0.0979
1,2,2,0.0016
1,2,2,0.0228
1,2,2,0.05708
1,2,2,0.08326
1,3,3,0.01874
1,3,3,0.0246
1,3,3,0.03558
1,3,3,0.0609
1,4,4,0.03442
1,4,4,0.06406
1,4,4,0.08188
1,5,5,0.0157
1,5,5,0.06084
1,5,5,0.08906
1,5,5,0.08986
1,5,5,0.0952
1,5,5,0.09764
1,7,7,0.0993
1,8,8,0.01778
1,8,8,0.02726
1,8,8,0.0329
1,8,8,0.06304
1,9,9,0.0238
1,9,9,0.05416
1,9,9,0.0608
1,9,9,0.07126
1,10,10,0.00032
1,10,10,0.05246
1,10,10,0.08024
1,10,10,0.0956
1,11,11,0.07232
1,11,11,0.07756
1,12,12,0.01788
1,12,12,0.07212
1,12,12,0.07462
1,13,13,0.00252
1,13,13,0.03716
1,13,13,0.03982
1,13,13,0.05588
1,13,13,0.0863
1,13,13,0.09694
1,14,14,0.02202
1,14,14,0.03244
1,14,14,0.0799
1,14,14,0.08712
1,15,15,0.0229
1,15,15,0.09492
1,16,16,0.03568
1,16,16,0.04164
1,16,16,0.05048
1,17,17,0.00364
1,17,17,0.02834
1,17,17,0.0417
1,17,17,0.06758
1,17,17,0.07532
1,17,17,0.07668
1,17,17,0.09536
1,17,17,0.09918
1,18,18,0.03776
1,18,18,0.09056
1,19,19,0.02056
1,20,20,0.01078
1,20,20,0.05192
1,20,20,0.06194
1,20,20,0.08166
1,20,20,0.09046
1,23,23,0.07064
1,27,27,0.0778
1,28,28,0.04042
1,29,29,0.01644
1,29,29,0.0679
1,30,30,0.00778
1,30,30,0.05366
1,31,31,0.0503
1,31,31,0.0528
1,31,31,0.05938
1,32,32,0.01524
1,32,32,0.03962
1,32,32,0.08408
1,32,32,0.09892
1,33,33,0.02274
1,33,33,0.09314
1,34,34,0.04502
1,34,34,0.0635
1,34,34,0.07276
1,34,34,0.08056
1,34,34,0.09718
1,35,35,0.06348
1,35,35,0.06766
1,35,35,0.0753
1,36,36,0.00222
1,36,36,0.04248
1,36,36,0.06612
1,37,37,0.02842
1,37,37,0.05022
1,37,37,0.05602
1,37,37,0.0917
1,37,37,0.0935
1,38,38,0.0473
1,38,38,0.05868
1,38,38,0.0945
1,38,38,0.09566
1,39,39,0.00134
1,39,39,0.0067
1,39,39,0.00876
1,39,39,0.04052
1,39,39,0.04272
1,39,39,0.07392
1,39,39,0.0757
1,40,40,0.00556
1,40,40,0.00862
1,40,40,0.03196
1,40,40,0.04236
1,40,40,0.05908
1,40,40,0.0685
1,40,40,0.07404
1,41,41,0.0343
1,41,41,0.0682
1,42,42,0.0523
1,42,42,0.0779
1,42,42,0.09616
1,43,43,0.03948
1,43,43,0.04746
1,43,43,0.06624
1,44,44,0.0234
1,45,45,0.01626
1,45,45,0.04248
1,45,45,0.08612
1,46,46,0.01054
1,46,46,0.08682
1,46,46,0.0972
1,46,46,0.09918
1,46,46,0.09984
1,47,47,0.0705
1,48,48,0.05844
1,49,49,0.02934
1,49,49,0.04526
1,49,49,0.062
1,49,49,0.06298
1,50,50,0.00524
1,50,50,0.03148
1,50,50,0.04584
1,50,50,0.05134
1,50,50,0.05654
1,50,50,0.068
1,51,51,0.00278
1,51,51,0.02438
1,51,51,0.034
1,51,51,0.03984
1,51,51,0.05746
1,51,51,0.0741
1,52,52,0.02602
1,52,52,0.03508
1,52,52,0.04218
1,53,53,0.05644
1,53,53,0.07624
1,53,53,0.09758
1,55,55,0.02106
1,55,55,0.0271
1,56,56,0.0373
1,57,57,0.03178
1,57,57,0.06416
1,57,57,0.08148
1,57,57,0.09286
1,58,58,0.05202
1,58,58,0.06562
1,59,59,0.00704
1,59,59,0.03084
1,59,59,0.06304
1,59,59,0.0894
1,60,60,0.01498
1,60,60,0.01914
1,60,60,0.05372
1,60,60,0.07438
2,1,61,0.02238
2,1,61,0.05504
2,1,61,0.06534
2,1,61,0.0795
2,1,61,0.08142
2,2,62,0.02144
2,2,62,0.02224
2,2,62,0.0271
2,2,62,0.06844
2,2,62,0.0849
2,3,63,0.00584
2,3,63,0.04118
2,3,63,0.0536
2,3,63,0.06768
2,3,63,0.09674
2,4,64,0.00934
2,4,64,0.01508
2,4,64,0.0232
2,4,64,0.03624
2,4,64,0.09016
2,4,64,0.09984
2,5,65,0.014
2,5,65,0.05092
2,5,65,0.05966
2,5,65,0.06196
2,6,66,0.0078
2,6,66,0.02928
2,6,66,0.05678
2,6,66,0.06964
2,7,67,0.02472
2,7,67,0.06004
2,7,67,0.0691
2,8,68,0.03048
2,8,68,0.07302
2,8,68,0.08498
2,9,69,0.06502
2,10,70,0.04286
2,11,71,0.02698
2,11,71,0.04242
2,11,71,0.08574
2,11,71,0.08966
2,11,71,0.09904
2,12,72,0.02408
2,12,72,0.03802
2,12,72,0.07104
2,12,72,0.0911
2,13,73,0.07026
2,14,74,0.01804
2,16,76,0.0338
2,16,76,0.0649
2,17,77,0.0165
2,17,77,0.05864
2,17,77,0.09676
2,19,79,0.03544
2,19,79,0.04714
2,19,79,0.09312
2,20,80,0.00634
2,20,80,0.01042
2,20,80,0.07026
2,21,81,0.02054
2,21,81,0.0369
2,21,81,0.09532
2,22,82,0.00118
2,22,82,0.01476
2,22,82,0.0441
2,22,82,0.05664
2,22,82,0.0843
2,23,83,0.00466
2,23,83,0.02166
2,23,83,0.07118
2,23,83,0.09344
2,24,84,0.04864
2,25,85,0.04688
2,26,86,0.063
2,26,86,0.08466
2,28,88,0.04816
2,28,88,0.07066
2,30,90,0.09246
2,31,91,0.00366
2,31,91,0.01962
2,31,91,0.04662
2,32,92,0.01354
2,32,92,0.02646
2,32,92,0.04138
2,32,92,0.09836
2,33,93,0.00792
2,33,93,0.06542
2,33,93,0.07952
2,33,93,0.09372
2,34,94,0.00556
2,34,94,0.01238
2,34,94,0.0566
2,34,94,0.06278
2,35,95,0.01652
2,35,95,0.08476
2,36,96,0.04602
2,37,97,0.01738
2,37,97,0.0219
2,37,97,0.0266
2,37,97,0.03574
2,37,97,0.0372
2,37,97,0.0538
2,37,97,0.07666
2,37,97,0.07926
2,37,97,0.08868
2,37,97,0.09412
2,37,97,0.0959
2,38,98,0.02334
2,38,98,0.03462
2,38,98,0.04348
2,38,98,0.07964
2,38,98,0.08138
2,39,99,0.0012
2,39,99,0.0163
2,39,99,0.03226
2,39,99,0.03292
2,39,99,0.06794
2,39,99,0.07694
2,39,99,0.09542
2,40,100,0.00136
2,40,100,0.02158
2,40,100,0.0396
2,40,100,0.06564
2,40,100,0.09342
2,41,101,0.0276
2,41,101,0.03998
2,41,101,0.06696
2,41,101,0.07142
2,41,101,0.0745
2,41,101,0.07832
2,41,101,0.08534
2,41,101,0.08972
2,42,102,0.04738
2,43,103,0.09528
2,44,104,0.09424
2,45,105,0.04812
2,46,106,0.0044
2,46,106,0.03706
2,46,106,0.03906
2,46,106,0.06262
2,47,107,0.02728
2,47,107,0.06066
2,48,108,0.0206
2,48,108,0.05594
2,49,109,0.01682
2,49,109,0.05242
2,50,110,0.02212
2,51,111,0.01682
2,51,111,0.09654
