Stimulus,Repetition,TrialNumber,SpikeTimes
18,1,120,-0.212595
18,1,120,-0.069675
18,1,120,0.299101
18,1,120,0.317461
18,1,120,0.371462
18,1,120,0.3909
18,1,120,0.406999
18,1,120,0.50596
21,1,141,-0.47724
21,1,141,0.109394
21,1,141,0.293552
6,1,36,-0.347274
6,1,36,-0.342673
6,1,36,-0.136217
6,1,36,-0.076596
6,1,36,0.073543
6,1,36,0.096884
6,1,36,0.138603
6,1,36,0.149483
6,1,36,0.218761
6,1,36,0.378258
17,1,113,-0.465284
17,1,113,-0.039387
17,1,113,-0.00511
17,1,113,0.066531
17,1,113,0.08687
17,1,113,0.10021
17,1,113,0.119229
17,1,113,0.12757
17,1,113,0.151889
17,1,113,0.190629
17,1,113,0.239289
17,1,113,0.261847
17,1,113,0.431627
17,1,113,0.578187
12,1,78,-0.311517
12,1,78,0.0937979999999999
12,1,78,0.11046
12,1,78,0.153559
12,1,78,0.193618
12,1,78,0.209639
12,1,78,0.237199
12,1,78,0.299139
12,1,78,0.317679
12,1,78,0.520374
12,1,78,0.554254
12,1,78,0.603036
12,1,78,0.622213
12,1,78,0.639154
2,1,8,-0.484885
2,1,8,-0.440206
2,1,8,-0.430366
2,1,8,-0.385966
2,1,8,-0.357866
2,1,8,-0.331626
2,1,8,-0.211928
2,1,8,-0.16403
2,1,8,0.08217
2,1,8,0.10767
2,1,8,0.150567
2,1,8,0.186667
2,1,8,0.203046
2,1,8,0.213668
2,1,8,0.228868
2,1,8,0.236627
2,1,8,0.239886
2,1,8,0.247666
2,1,8,0.261668
2,1,8,0.276625
2,1,8,0.302287
2,1,8,0.309825
2,1,8,0.322628
2,1,8,0.520223
2,1,8,0.523784
2,1,8,0.577384
2,1,8,0.595324
2,1,8,0.644262
19,1,127,-0.273557
19,1,127,-0.271118
19,1,127,-0.250518
19,1,127,-0.227496
19,1,127,-0.215678
19,1,127,-0.196758
19,1,127,-0.183998
19,1,127,-0.0732
19,1,127,0.514933
19,1,127,0.557095
19,1,127,0.705613
10,1,64,-0.461327
10,1,64,-0.431908
10,1,64,-0.348688
10,1,64,-0.324207
10,1,64,-0.295048
10,1,64,-0.150831
10,1,64,-0.107251
10,1,64,-0.089292
10,1,64,0.273685
10,1,64,0.515562
10,1,64,0.550282
5,1,29,-0.300741
5,1,29,-0.27146
5,1,29,0.230414
5,1,29,0.70199
5,1,29,0.71789
13,1,85,-0.479588
13,1,85,-0.451189
13,1,85,-0.184812
13,1,85,-0.159273
13,1,85,-0.145653
13,1,85,-0.125214
13,1,85,-0.086555
13,1,85,-0.070674
13,1,85,-0.061255
13,1,85,-0.040275
13,1,85,0.054985
13,1,85,0.079745
13,1,85,0.092685
13,1,85,0.103644
13,1,85,0.113704
13,1,85,0.127264
13,1,85,0.138744
13,1,85,0.151262
13,1,85,0.162262
13,1,85,0.175063
13,1,85,0.186084
13,1,85,0.202902
13,1,85,0.217985
13,1,85,0.232585
13,1,85,0.297261
13,1,85,0.6451
7,1,43,-0.477939
7,1,43,-0.422778
7,1,43,-0.115464
7,1,43,0.359133
7,1,43,0.361872
7,1,43,0.366271
7,1,43,0.462813
15,1,99,-0.376673
15,1,99,-0.336293
15,1,99,-0.302251
15,1,99,0.163163
15,1,99,0.186163
15,1,99,0.242681
15,1,99,0.439001
15,1,99,0.442959
15,1,99,0.545157
16,1,106,-0.055567
16,1,106,0.408068
16,1,106,0.44549
16,1,106,0.461848
16,1,106,0.550867
11,1,71,-0.303695
11,1,71,-0.244074
11,1,71,0.262521
11,1,71,0.469836
11,1,71,0.506957
20,1,134,-0.229265
20,1,134,-0.188788
20,1,134,-0.148329
20,1,134,-0.136667
20,1,134,-0.00184900000000005
20,1,134,0.153828
20,1,134,0.461145
20,1,134,0.474226
20,1,134,0.583225
20,1,134,0.625064
20,1,134,0.645364
4,1,22,-0.293979
4,1,22,-0.291936
4,1,22,-0.289316
4,1,22,0.290737
4,1,22,0.296777
4,1,22,0.74729
14,1,92,0.090506
14,1,92,0.120827
14,1,92,0.154907
14,1,92,0.176566
14,1,92,0.192566
14,1,92,0.209947
14,1,92,0.227486
14,1,92,0.246007
14,1,92,0.476643
14,1,92,0.615383
14,1,92,0.635803
8,1,50,-0.438477
8,1,50,-0.19678
8,1,50,-0.19496
8,1,50,-0.1929
8,1,50,-0.18792
8,1,50,0.275835
8,1,50,0.435192
8,1,50,0.439052
8,1,50,0.452491
8,1,50,0.605371
8,1,50,0.622691
3,1,15,-0.429749
3,1,15,-0.146573
