Stimulus,Repetition,TrialNumber,SpikeTimes
16,1,121,0.01879808
16,1,121,0.02068224
16,1,121,0.02272
16,1,121,0.26098432
16,1,121,0.37360384
17,1,129,-0.04535552
17,1,129,0.3331456
17,1,129,0.75570944
1,1,1,0.91188992
6,1,41,0.0208768
6,1,41,0.85744384
18,1,137,0.30200576
18,1,137,0.7980928
18,1,137,0.8522112
11,1,81,0.02270976
11,1,81,0.47284992
7,1,49,0.66628352
7,1,49,0.94504704
7,1,49,0.96946944
9,1,65,-0.04953344
14,1,105,0.50349824
14,1,105,0.58768128
14,1,105,0.92944128
15,1,113,0.10746624
15,1,113,1.00889344
20,1,153,-0.1950336
20,1,153,0.41751296
13,1,97,-0.11150592
13,1,97,0.73753344
13,1,97,0.98334464
2,1,9,0.11781888
2,1,9,0.20441856
2,1,9,0.34344704
2,1,9,0.92248832
8,1,57,-0.04401408
8,1,57,0.02172672
4,1,25,-0.1570432
4,1,25,0.01938176
4,1,25,0.02223872
4,1,25,0.20976384
4,1,25,0.26057472
5,1,33,0.01704704
5,1,33,0.02196224
5,1,33,0.0423808
5,1,33,0.11822848
5,1,33,0.15930112
5,1,33,0.18086656
5,1,33,0.201408
3,1,17,0.0161152
3,1,17,0.01993472
3,1,17,0.021952
3,1,17,0.02627328
3,1,17,0.11092736
3,1,17,0.12712704
3,1,17,0.14200576
3,1,17,0.22998784
3,1,17,0.80186112
10,1,73,0.4719488
10,1,73,1.00440832
1,2,2,0.24018688
7,2,50,0.05843712
7,2,50,0.21608192
7,2,50,0.21879552
9,2,66,0.3109248
9,2,66,0.36108032
9,2,66,0.5233024
9,2,66,0.90926848
18,2,138,-0.04263168
4,2,26,0.018112
4,2,26,0.0213888
4,2,26,0.02900736
4,2,26,0.12504832
4,2,26,0.18033408
4,2,26,0.23252736
4,2,26,0.46967552
4,2,26,0.57195264
3,2,18,0.01858304
3,2,18,0.02191104
3,2,18,0.11745024
3,2,18,0.78393088
2,2,10,0.01946368
2,2,10,0.11386624
20,2,154,0.58555136
11,2,82,0.65475328
8,2,58,0.20155136
16,2,122,0.1418112
16,2,122,0.51556096
16,2,122,0.5440384
16,2,122,0.5777792
16,2,122,0.71954176
5,2,34,0.0175488
5,2,34,0.01992448
14,2,106,-0.02083072
14,2,106,0.67819264
15,2,114,0.606656
15,2,114,0.9063808
6,2,42,0.01479424
6,2,42,0.05806848
6,2,42,0.10840832
6,2,42,0.17179392
6,2,42,0.21573376
6,2,42,0.3591552
6,2,42,0.41165568
6,2,42,0.50047744
6,2,42,0.6123904
21,2,162,0.12086016
13,3,99,0.67309312
13,3,99,0.92663552
18,3,139,0.75809536
18,3,139,0.75931392
5,3,35,0.01614592
5,3,35,0.11864832
5,3,35,0.16624384
5,3,35,0.18510592
14,3,107,-0.08739072
14,3,107,1.04475392
1,3,3,-0.16823552
2,3,11,-0.10258688
2,3,11,0.02028288
2,3,11,1.04560384
21,3,163,-0.03612928
21,3,163,0.530112
21,3,163,0.83719936
17,3,131,-0.09883904
17,3,131,0.67940096
17,3,131,0.68060928
4,3,27,0.01604352
4,3,27,0.71657216
4,3,27,0.87846656
7,3,51,0.39072512
15,3,115,0.03494656
15,3,115,0.3877248
15,3,115,0.43151104
15,3,115,0.43455232
15,3,115,0.44464896
6,3,43,0.01623808
9,3,67,-0.18157824
5,4,36,0.01677056
3,4,20,0.01579776
3,4,20,0.02259712
3,4,20,0.02530048
3,4,20,0.04481792
3,4,20,0.06176512
3,4,20,0.15776512
3,4,20,1.03051008
17,4,132,1.01413632
8,4,60,0.56521472
15,4,116,0.50560768
15,4,116,0.55589632
2,4,12,-0.09210112
2,4,12,-0.04539648
2,4,12,0.02134784
2,4,12,0.4101504
2,4,12,0.761792
2,4,12,0.95030016
20,4,156,-0.14125312
20,4,156,-0.10373376
20,4,156,0.29104896
18,4,140,1.02401792
9,4,68,0.41760512
9,4,68,0.66424576
6,4,44,0.24529664
6,4,44,0.71921408
6,4,44,0.74501888
13,4,100,-0.16089344
10,4,76,0.03917568
4,4,28,0.01522432
4,4,28,0.02705152
4,4,28,0.04562688
4,4,28,0.12480256
4,4,28,0.13634304
4,4,28,0.8873344
11,4,84,0.05066496
11,4,84,0.60273408
11,4,84,0.85645056
14,4,108,-0.16483584
14,4,108,0.74715904
14,4,108,0.9344384
19,4,148,-0.05798144
19,4,148,0.45220608
7,4,52,0.85703424
7,4,52,0.89477888
7,4,52,0.90521344
7,4,52,0.94340864
21,4,164,0.16959232
21,4,164,0.58810112
